interval,time,perf_count,iolog_count
0.05,0.0,241,251
0.05,0.05,153,288
0.05,0.1,176,435
0.05,0.15000000000000002,196,437
0.05,0.2,206,397
0.05,0.25,181,307
0.05,0.30000000000000004,166,267
0.05,0.35000000000000003,169,231
0.05,0.4,152,240
0.05,0.45,147,225
0.05,0.5,140,193
0.05,0.55,149,164
0.05,0.6000000000000001,127,117
0.05,0.65,99,65
0.05,0.7000000000000001,4,0
0.05,0.75,16,0
0.05,0.8,15,0
0.05,0.8500000000000001,3,0
0.05,0.9,9,113
0.05,0.9500000000000001,16,92
0.05,1.0,49,156
0.05,1.05,118,88
0.05,1.1,64,54
0.05,1.1500000000000001,11,6
0.05,1.2000000000000002,37,2
0.05,1.25,53,3
0.05,1.3,16,1
0.05,1.35,5,0
0.05,1.4000000000000001,6,0
0.05,1.4500000000000002,4,0
0.05,1.5,0,0
0.05,1.55,0,0
0.05,1.6,0,0
0.05,1.6500000000000001,6,0
0.05,1.7000000000000002,25,33
0.05,1.75,134,214
0.05,1.8,145,128
0.05,1.85,144,148
0.05,1.9000000000000001,156,172
0.05,1.9500000000000002,166,174
0.05,2.0,202,176
0.05,2.0500000000000003,203,155
0.05,2.1,201,138
0.05,2.15,191,130
0.05,2.2,200,113
0.05,2.25,194,105
0.05,2.3000000000000003,210,84
0.05,2.35,201,74
0.05,2.4000000000000004,194,71
0.05,2.45,206,75
0.05,2.5,180,79
0.05,2.5500000000000003,207,92
0.05,2.6,194,86
0.05,2.6500000000000004,197,100
0.05,2.7,188,99
0.05,2.75,174,121
0.05,2.8000000000000003,191,118
0.05,2.85,194,128
0.05,2.9000000000000004,192,132
0.05,2.95,183,136
0.05,3.0,185,134
0.05,3.0500000000000003,184,127
0.05,3.1,190,122
0.05,3.1500000000000004,188,143
0.05,3.2,172,135
0.05,3.25,204,147
0.05,3.3000000000000003,181,153
0.05,3.35,182,150
0.05,3.4000000000000004,179,147
0.05,3.45,173,143
0.05,3.5,178,135
0.05,3.5500000000000003,176,153
0.05,3.6,178,162
0.05,3.6500000000000004,172,155
0.05,3.7,175,157
0.05,3.75,176,164
0.05,3.8000000000000003,159,148
0.05,3.85,164,142
0.05,3.9000000000000004,173,143
0.05,3.95,175,150
0.05,4.0,161,155
0.05,4.05,167,141
0.05,4.1000000000000005,173,159
0.05,4.15,169,151
0.05,4.2,157,145
0.05,4.25,169,153
0.05,4.3,150,164
0.05,4.3500000000000005,150,141
0.05,4.4,150,148
0.05,4.45,153,156
0.05,4.5,152,173
0.05,4.55,147,162
0.05,4.6000000000000005,163,156
0.05,4.65,156,143
0.05,4.7,157,172
0.05,4.75,158,149
0.05,4.800000000000001,160,152
0.05,4.8500000000000005,173,153
0.05,4.9,166,160
0.05,4.95,173,152
0.05,5.0,160,163
0.05,5.050000000000001,169,156
0.05,5.1000000000000005,176,151
0.05,5.15,177,159
0.05,5.2,173,168
0.05,5.25,182,155
0.05,5.300000000000001,178,150
0.05,5.3500000000000005,187,139
0.05,5.4,175,153
0.05,5.45,176,145
0.05,5.5,184,132
0.05,5.550000000000001,167,159
0.05,5.6000000000000005,185,159
0.05,5.65,189,153
0.05,5.7,187,179
0.05,5.75,182,162
0.05,5.800000000000001,180,167
0.05,5.8500000000000005,198,162
0.05,5.9,186,148
0.05,5.95,180,140
0.05,6.0,192,152
0.05,6.050000000000001,196,152
0.05,6.1000000000000005,190,143
0.05,6.15,183,161
0.05,6.2,197,160
0.05,6.25,201,158
0.05,6.300000000000001,197,155
0.05,6.3500000000000005,206,159
0.05,6.4,186,152
0.05,6.45,185,150
0.05,6.5,201,155
0.05,6.550000000000001,195,148
0.05,6.6000000000000005,185,149
0.05,6.65,214,147
0.05,6.7,203,145
0.05,6.75,209,137
0.05,6.800000000000001,213,144
0.05,6.8500000000000005,209,143
0.05,6.9,206,148
0.05,6.95,203,151
0.05,7.0,209,163
0.05,7.050000000000001,205,153
0.05,7.1000000000000005,211,148
0.05,7.15,220,155
0.05,7.2,219,159
0.05,7.25,228,161
0.05,7.300000000000001,222,152
0.05,7.3500000000000005,226,154
0.05,7.4,216,152
0.05,7.45,221,163
0.05,7.5,234,155
0.05,7.550000000000001,225,161
0.05,7.6000000000000005,232,162
0.05,7.65,204,176
0.05,7.7,222,160
0.05,7.75,225,164
0.05,7.800000000000001,230,157
0.05,7.8500000000000005,225,170
0.05,7.9,233,138
0.05,7.95,218,163
0.05,8.0,214,156
0.05,8.05,232,131
0.05,8.1,233,129
0.05,8.15,230,143
0.05,8.200000000000001,220,145
0.05,8.25,229,145
0.05,8.3,232,113
0.05,8.35,234,122
0.05,8.4,224,123
0.05,8.450000000000001,233,142
0.05,8.5,235,114
0.05,8.55,239,116
0.05,8.6,226,108
0.05,8.65,224,112
0.05,8.700000000000001,240,106
0.05,8.75,243,103
0.05,8.8,230,121
0.05,8.85,231,115
0.05,8.9,239,113
0.05,8.950000000000001,248,108
0.05,9.0,224,134
0.05,9.05,235,125
0.05,9.1,235,122
0.05,9.15,232,118
0.05,9.200000000000001,218,104
0.05,9.25,239,120
0.05,9.3,223,129
0.05,9.35,219,128
0.05,9.4,236,119
0.05,9.450000000000001,231,121
0.05,9.5,232,117
0.05,9.55,227,126
0.05,9.600000000000001,219,124
0.05,9.65,221,113
0.05,9.700000000000001,231,121
0.05,9.75,238,130
0.05,9.8,226,132
0.05,9.850000000000001,234,121
0.05,9.9,232,104
0.05,9.950000000000001,235,110
0.05,10.0,225,123
0.05,10.05,233,113
0.05,10.100000000000001,230,117
0.05,10.15,254,100
0.05,10.200000000000001,223,101
0.05,10.25,228,104
0.05,10.3,226,116
0.05,10.350000000000001,238,106
0.05,10.4,238,100
0.05,10.450000000000001,231,96
0.05,10.5,237,93
0.05,10.55,241,110
0.05,10.600000000000001,236,108
0.05,10.65,236,103
0.05,10.700000000000001,246,106
0.05,10.75,232,98
0.05,10.8,248,93
0.05,10.850000000000001,246,93
0.05,10.9,236,94
0.05,10.950000000000001,242,101
0.05,11.0,238,101
0.05,11.05,243,87
0.05,11.100000000000001,237,97
0.05,11.15,240,102
0.05,11.200000000000001,241,82
0.05,11.25,242,97
0.05,11.3,245,97
0.05,11.350000000000001,254,101
0.05,11.4,240,98
0.05,11.450000000000001,242,94
0.05,11.5,234,102
0.05,11.55,244,95
0.05,11.600000000000001,251,98
0.05,11.65,248,102
0.05,11.700000000000001,237,104
0.05,11.75,228,109
0.05,11.8,234,104
0.05,11.850000000000001,252,86
0.05,11.9,240,105
0.05,11.950000000000001,237,106
0.05,12.0,255,96
0.05,12.05,243,91
0.05,12.100000000000001,241,101
0.05,12.15,248,88
0.05,12.200000000000001,244,90
0.05,12.25,254,95
0.05,12.3,247,99
0.05,12.350000000000001,245,97
0.05,12.4,237,97
0.05,12.450000000000001,238,96
0.05,12.5,254,76
0.05,12.55,249,98
0.05,12.600000000000001,251,84
0.05,12.65,260,88
0.05,12.700000000000001,248,89
0.05,12.75,243,92
0.05,12.8,246,93
